"ID","Gene.title","Gene.symbol","Gene.ID","Nucleotide.Title","GI","GenBank.Accession","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NM_207356_at","chromosome 1 open reading frame 174","C1orf174","339448","Homo sapiens chromosome 1 open reading frame 174 (C1orf174), mRNA","224591398","NM_207356","1p36.32","Chromosome 1, NC_000001.10 (3805697..3816857, complement)","","","nucleus","","","GO:0005634",-0.311368872694855,7.54347692638,-3.78868766989913,0.000415101406143115,0.579118212220731,-0.128009257300557
"NM_006476_at","ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G","ATP5L","10632","Homo sapiens ATP synthase, H+ transporting, mitochondrial Fo complex, subunit G (ATP5L), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA","51479155","NM_006476","11q23.3","Chromosome 11, NC_000011.9 (118272104..118280562)","contributes_to ATPase activity///hydrogen ion transmembrane transporter activity///transmembrane transporter activity","ATP catabolic process///cellular metabolic process///mitochondrial ATP synthesis coupled proton transport///mitochondrial ATP synthesis coupled proton transport///respiratory electron transport chain///small molecule metabolic process","mitochondrial inner membrane///mitochondrial proton-transporting ATP synthase complex///mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)///mitochondrion","contributes_to GO:0016887///GO:0015078///GO:0022857","GO:0006200///GO:0044237///GO:0042776///GO:0042776///GO:0022904///GO:0044281","GO:0005743///GO:0005753///GO:0000276///GO:0005739",-0.321705335955883,10.5741199728,-3.75502609815193,0.000460764647052872,0.579118212220731,-0.212134293980041
"NM_024956_at","transmembrane protein 62","TMEM62","80021","Homo sapiens transmembrane protein 62 (TMEM62), mRNA","52851436","NM_024956","15q15.2","Chromosome 15, NC_000015.9 (43425722..43477342)","","","integral to membrane","","","GO:0016021",-0.390596376367651,4.90858822032,-3.7043309365738,0.00053876112585967,0.579118212220731,-0.338143979621459
"NM_025124_at","transmembrane protein 134","TMEM134","80194","Homo sapiens transmembrane protein 134 (TMEM134), transcript variant 1, mRNA","411147378","NM_025124","11q13.2","Chromosome 11, NC_000011.9 (67231819..67236731, complement)","","","integral to membrane","","","GO:0016021",-0.439926559867645,6.65916872904,-3.66311731087872,0.000611365265864711,0.579118212220731,-0.439964290971137
"NM_000917_at","prolyl 4-hydroxylase, alpha polypeptide I","P4HA1","5033","Homo sapiens prolyl 4-hydroxylase, alpha polypeptide I (P4HA1), transcript variant 1, mRNA","217272856","NM_000917","10q21.3-q23.1","Chromosome 10, NC_000010.10 (74766975..74856732, complement)","L-ascorbic acid binding///iron ion binding///oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen///procollagen-proline 4-dioxygenase activity","collagen fibril organization///peptidyl-proline hydroxylation to 4-hydroxy-L-proline","endoplasmic reticulum///endoplasmic reticulum lumen///intracellular membrane-bounded organelle///mitochondrion","GO:0031418///GO:0005506///GO:0016702///GO:0004656","GO:0030199///GO:0018401","GO:0005783///GO:0005788///GO:0043231///GO:0005739",-0.46229181956618,8.14142603282,-3.65574926404973,0.000625297489083085,0.579118212220731,-0.458107518225459
"NM_001017962_at","prolyl 4-hydroxylase, alpha polypeptide I","P4HA1","5033","Homo sapiens prolyl 4-hydroxylase, alpha polypeptide I (P4HA1), transcript variant 2, mRNA","217272847","NM_001017962","10q21.3-q23.1","Chromosome 10, NC_000010.10 (74766975..74856732, complement)","L-ascorbic acid binding///iron ion binding///oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen///procollagen-proline 4-dioxygenase activity","collagen fibril organization///peptidyl-proline hydroxylation to 4-hydroxy-L-proline","endoplasmic reticulum///endoplasmic reticulum lumen///intracellular membrane-bounded organelle///mitochondrion","GO:0031418///GO:0005506///GO:0016702///GO:0004656","GO:0030199///GO:0018401","GO:0005783///GO:0005788///GO:0043231///GO:0005739",-0.46229181956618,8.14142603282,-3.65574926404973,0.000625297489083085,0.579118212220731,-0.458107518225459
"NM_016080_at","glyoxalase domain containing 4","GLOD4","51031","Homo sapiens glyoxalase domain containing 4 (GLOD4), mRNA","217330597","NM_016080","17p13.3","Chromosome 17, NC_000017.10 (662549..685571, complement)","","","mitochondrion","","","GO:0005739",-0.275279149404414,8.24441344678,-3.63346115851847,0.000669319219782312,0.579118212220731,-0.512878075668055
"NM_001004_at","ribosomal protein, large, P2","RPLP2","6181","Homo sapiens ribosomal protein, large, P2 (RPLP2), mRNA","78217389","NM_001004","11p15.5","Chromosome 11, NC_000011.9 (809936..812876)","RNA binding///structural constituent of ribosome","RNA metabolic process///SRP-dependent cotranslational protein targeting to membrane///cellular protein metabolic process///gene expression///mRNA metabolic process///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///translation///translation///translational elongation///translational initiation///translational termination///viral infectious cycle///viral process///viral transcription","cytosol///cytosolic large ribosomal subunit","GO:0003723///GO:0003735","GO:0016070///GO:0006614///GO:0044267///GO:0010467///GO:0016071///GO:0000184///GO:0006412///GO:0006412///GO:0006414///GO:0006413///GO:0006415///GO:0019058///GO:0016032///GO:0019083","GO:0005829///GO:0022625",-0.212260931176472,13.7552642318,-3.62894791958983,0.000678587948048631,0.579118212220731,-0.523948208708162
"XM_926244_at","","","","","","","","","","","","","","",0.445343096522061,7.87820825176,3.6258263164372,0.000685070504558811,0.579118212220731,-0.531600826357871
"XM_938545_at","","","","","","","","","","","","","","",0.445343096522061,7.87820825176,3.6258263164372,0.000685070504558811,0.579118212220731,-0.531600826357871
"NM_022337_at","RAB38, member RAS oncogene family","RAB38","23682","Homo sapiens RAB38, member RAS oncogene family (RAB38), mRNA","307078131","NM_022337","11q14","Chromosome 11, NC_000011.9 (87846415..87908635, complement)","GTP binding///GTPase activity","GTP catabolic process///phagosome acidification///protein transport///small GTPase mediated signal transduction","cellular_component///melanosome///phagocytic vesicle///phagocytic vesicle membrane///plasma membrane","GO:0005525///GO:0003924","GO:0006184///GO:0090383///GO:0015031///GO:0007264","GO:0005575///GO:0042470///GO:0045335///GO:0030670///GO:0005886",-0.430680187132352,5.1668312425,-3.62365149647207,0.000689621914184029,0.579118212220731,-0.536930421118922
"NM_019040_at","elongator acetyltransferase complex subunit 4","ELP4","26610","Homo sapiens elongator acetyltransferase complex subunit 4 (ELP4), mRNA","91208434","NM_019040","11p13","Chromosome 11, NC_000011.9 (31531297..31805329)","contributes_to histone acetyltransferase activity///phosphorylase kinase regulator activity///protein binding","histone acetylation///regulation of transcription from RNA polymerase II promoter///regulation of transcription from RNA polymerase II promoter///transcription elongation from RNA polymerase II promoter","DNA-directed RNA polymerase II, holoenzyme///Elongator holoenzyme complex///cytoplasm///transcription elongation factor complex","contributes_to GO:0004402///GO:0008607///GO:0005515","GO:0016573///GO:0006357///GO:0006357///GO:0006368","GO:0016591///GO:0033588///GO:0005737///GO:0008023",-0.404947695319858,6.07282791812,-3.59265083588276,0.000757732211323354,0.607391252122153,-0.612722220778442
"NM_021029_at","ribosomal protein L36a","RPL36A","6173","Homo sapiens ribosomal protein L36a (RPL36A), transcript variant 1, mRNA","316983123","NM_021029","Xq22.1","Chromosome X, NC_000023.10 (100645878..100651142)","structural constituent of ribosome","RNA metabolic process///SRP-dependent cotranslational protein targeting to membrane///cellular protein metabolic process///gene expression///mRNA metabolic process///nuclear-transcribed mRNA catabolic process, nonsense-mediated decay///translation///translation///translational elongation///translational initiation///translational termination///viral infectious cycle///viral process///viral transcription","cytoplasm///cytosol///cytosolic large ribosomal subunit///ribosome","GO:0003735","GO:0016070///GO:0006614///GO:0044267///GO:0010467///GO:0016071///GO:0000184///GO:0006412///GO:0006412///GO:0006414///GO:0006413///GO:0006415///GO:0019058///GO:0016032///GO:0019083","GO:0005737///GO:0005829///GO:0022625///GO:0005840",-0.386940884117646,12.2738173488,-3.52823486840323,0.000920405620055872,0.650362826335987,-0.769124976622781
"XM_929985_at","","","","","","","","","","","","","","",-0.386940884117646,12.2738173488,-3.52823486840323,0.000920405620055872,0.650362826335987,-0.769124976622781
"NM_012339_at","tetraspanin 15","TSPAN15","23555","Homo sapiens tetraspanin 15 (TSPAN15), mRNA","54792144","NM_012339","10q22.1","Chromosome 10, NC_000010.10 (71211226..71267423)","","","integral to plasma membrane///membrane","","","GO:0005887///GO:0016020",-0.528279248367648,4.60041089586,-3.52362504791349,0.000933245305606085,0.650362826335987,-0.780260499308491
"NM_007358_at","metal response element binding transcription factor 2","MTF2","22823","Homo sapiens metal response element binding transcription factor 2 (MTF2), transcript variant 1, mRNA","166706893","NM_007358","1p22.1","Chromosome 1, NC_000001.10 (93544792..93604638)","DNA binding///methylated histone residue binding///zinc ion binding","chromatin modification///negative regulation of histone H3-K27 methylation///negative regulation of transcription from RNA polymerase II promoter///positive regulation of histone H3-K27 methylation///positive regulation of transcription from RNA polymerase II promoter///segment specification///stem cell differentiation///stem cell maintenance","colocalizes_with ESC/E(Z) complex///cytoplasm///nucleus","GO:0003677///GO:0035064///GO:0008270","GO:0016568///GO:0061086///GO:0000122///GO:0061087///GO:0045944///GO:0007379///GO:0048863///GO:0019827","colocalizes_with GO:0035098///GO:0005737///GO:0005634",0.349631878452206,6.59848844566,3.51460800008598,0.000958856449375428,0.650362826335987,-0.802019763361074
"NM_015654_at","N-acetyltransferase 9 (GCN5-related, putative)","NAT9","26151","Homo sapiens N-acetyltransferase 9 (GCN5-related, putative) (NAT9), mRNA","34222325","NM_015654","17q25.1","Chromosome 17, NC_000017.10 (72766686..72772470, complement)","N-acetyltransferase activity","","protein complex","GO:0008080","","GO:0043234",-0.396986247632353,5.94488009636,-3.44863355983044,0.00116771485132406,0.683986092935106,-0.960309552424087
"NM_198544_at","APITD1-CORT readthrough","APITD1-CORT","100526739","Homo sapiens APITD1-CORT readthrough (APITD1-CORT), transcript variant 1, mRNA","302058295","NM_198544","1p","Chromosome 1, NC_000001.10 (10490159..10512060)","","","","","","",-0.573979464930148,4.10349305566,-3.44719529154667,0.00117271843791844,0.683986092935106,-0.963742157948088
"XM_377716_at","","","","","","","","","","","","","","",-0.211712771507353,13.228726121,-3.39847896450819,0.0013547719229133,0.683986092935106,-1.07954230207168
"XM_939482_at","","","","","","","","","","","","","","",-0.211712771507353,13.228726121,-3.39847896450819,0.0013547719229133,0.683986092935106,-1.07954230207168
"NM_003060_at","solute carrier family 22 (organic cation/carnitine transporter), member 5","SLC22A5","6584","Homo sapiens solute carrier family 22 (organic cation/carnitine transporter), member 5 (SLC22A5), mRNA","166064030","NM_003060","5q23.3","Chromosome 5, NC_000005.9 (131705401..131731306)","ATP binding///PDZ domain binding///antibiotic transporter activity///carnitine transmembrane transporter activity///carnitine transmembrane transporter activity///drug transmembrane transporter activity///protein binding///quaternary ammonium group transmembrane transporter activity///symporter activity","carnitine transport///carnitine transport///drug transmembrane transport///drug transport///positive regulation of intestinal epithelial structure maintenance///quaternary ammonium group transport///quorum sensing involved in interaction with host///sodium ion transport///sodium-dependent organic cation transport///transmembrane transport","apical plasma membrane///basolateral plasma membrane///brush border membrane///brush border membrane///integral to membrane///plasma membrane///plasma membrane","GO:0005524///GO:0030165///GO:0042895///GO:0015226///GO:0015226///GO:0015238///GO:0005515///GO:0015651///GO:0015293","GO:0015879///GO:0015879///GO:0006855///GO:0015893///GO:0060731///GO:0015697///GO:0052106///GO:0006814///GO:0070715///GO:0055085","GO:0016324///GO:0016323///GO:0031526///GO:0031526///GO:0016021///GO:0005886///GO:0005886",-0.241491954382353,2.41154650002,-3.38725192699188,0.00140038337719499,0.683986092935106,-1.10609917978925
"NM_017654_at","sterile alpha motif domain containing 9","SAMD9","54809","Homo sapiens sterile alpha motif domain containing 9 (SAMD9), transcript variant 1, mRNA","300863103","NM_017654","7q21.2","Chromosome 7, NC_000007.13 (92728826..92747336, complement)","","","cytoplasm///intracellular membrane-bounded organelle","","","GO:0005737///GO:0043231",0.428357986088236,5.34176405504,3.38080756284029,0.00142721985090026,0.683986092935106,-1.12132066139418
"NM_014320_at","heme binding protein 2","HEBP2","23593","Homo sapiens heme binding protein 2 (HEBP2), mRNA","41393567","NM_014320","6q24","Chromosome 6, NC_000006.11 (138725336..138734582)","","","cytoplasm///mitochondrion","","","GO:0005737///GO:0005739",-0.360152998625001,8.72122080856,-3.38017214521545,0.00142989224364361,0.683986092935106,-1.12282062476364
"NM_015024_at","exportin 7","XPO7","23039","Homo sapiens exportin 7 (XPO7), mRNA","154448891","NM_015024","8p21","Chromosome 8, NC_000008.10 (21777180..21864096)","Ran GTPase binding///nuclear export signal receptor activity","mRNA transport///protein export from nucleus","cytoplasm///nuclear pore///nucleus","GO:0008536///GO:0005049","GO:0051028///GO:0006611","GO:0005737///GO:0005643///GO:0005634",0.55672473932353,4.82577650024,3.37799676911726,0.00143907732028322,0.683986092935106,-1.12795460420932
"NM_015941_at","ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H","ATP6V1H","51606","Homo sapiens ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H (ATP6V1H), transcript variant 1, mRNA","386642866","NM_015941","8q11.2","Chromosome 8, NC_000008.10 (54628103..54755871, complement)","contributes_to ATPase activity///enzyme regulator activity///protein binding///proton-transporting ATPase activity, rotational mechanism","ATP catabolic process///ATP hydrolysis coupled proton transport///cellular iron ion homeostasis///endocytosis///insulin receptor signaling pathway///interaction with host///modulation by virus of host morphology or physiology///phagosome maturation///regulation of catalytic activity///regulation of defense response to virus by virus///transferrin transport///transmembrane transport///vacuolar acidification///viral process","cytosol///plasma membrane///vacuolar proton-transporting V-type ATPase, V1 domain","contributes_to GO:0016887///GO:0030234///GO:0005515///GO:0046961","GO:0006200///GO:0015991///GO:0006879///GO:0006897///GO:0008286///GO:0051701///GO:0019048///GO:0090382///GO:0050790///GO:0050690///GO:0033572///GO:0055085///GO:0007035///GO:0016032","GO:0005829///GO:0005886///GO:0000221",-0.232103185911768,8.45596220458,-3.37691272309129,0.00144367537769774,0.683986092935106,-1.13051230385554
"NM_213619_at","ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H","ATP6V1H","51606","Homo sapiens ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H (ATP6V1H), transcript variant 2, mRNA","386642867","NM_213619","8q11.2","Chromosome 8, NC_000008.10 (54628103..54755871, complement)","contributes_to ATPase activity///enzyme regulator activity///protein binding///proton-transporting ATPase activity, rotational mechanism","ATP catabolic process///ATP hydrolysis coupled proton transport///cellular iron ion homeostasis///endocytosis///insulin receptor signaling pathway///interaction with host///modulation by virus of host morphology or physiology///phagosome maturation///regulation of catalytic activity///regulation of defense response to virus by virus///transferrin transport///transmembrane transport///vacuolar acidification///viral process","cytosol///plasma membrane///vacuolar proton-transporting V-type ATPase, V1 domain","contributes_to GO:0016887///GO:0030234///GO:0005515///GO:0046961","GO:0006200///GO:0015991///GO:0006879///GO:0006897///GO:0008286///GO:0051701///GO:0019048///GO:0090382///GO:0050790///GO:0050690///GO:0033572///GO:0055085///GO:0007035///GO:0016032","GO:0005829///GO:0005886///GO:0000221",-0.232103185911768,8.45596220458,-3.37691272309129,0.00144367537769774,0.683986092935106,-1.13051230385554
"NM_213620_at","ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H","ATP6V1H","51606","Homo sapiens ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H (ATP6V1H), transcript variant 3, mRNA","386642868","NM_213620","8q11.2","Chromosome 8, NC_000008.10 (54628103..54755871, complement)","contributes_to ATPase activity///enzyme regulator activity///protein binding///proton-transporting ATPase activity, rotational mechanism","ATP catabolic process///ATP hydrolysis coupled proton transport///cellular iron ion homeostasis///endocytosis///insulin receptor signaling pathway///interaction with host///modulation by virus of host morphology or physiology///phagosome maturation///regulation of catalytic activity///regulation of defense response to virus by virus///transferrin transport///transmembrane transport///vacuolar acidification///viral process","cytosol///plasma membrane///vacuolar proton-transporting V-type ATPase, V1 domain","contributes_to GO:0016887///GO:0030234///GO:0005515///GO:0046961","GO:0006200///GO:0015991///GO:0006879///GO:0006897///GO:0008286///GO:0051701///GO:0019048///GO:0090382///GO:0050790///GO:0050690///GO:0033572///GO:0055085///GO:0007035///GO:0016032","GO:0005829///GO:0005886///GO:0000221",-0.232103185911768,8.45596220458,-3.37691272309129,0.00144367537769774,0.683986092935106,-1.13051230385554
"NM_002035_at","3-ketodihydrosphingosine reductase","KDSR","2531","Homo sapiens 3-ketodihydrosphingosine reductase (KDSR), mRNA","148728189","NM_002035","18q21.3","Chromosome 18, NC_000018.9 (60994971..61034506, complement)","3-dehydrosphinganine reductase activity","3-keto-sphinganine metabolic process///small molecule metabolic process///sphingolipid biosynthetic process///sphingolipid metabolic process","endoplasmic reticulum///endoplasmic reticulum membrane///extracellular space///integral to membrane","GO:0047560","GO:0006666///GO:0044281///GO:0030148///GO:0006665","GO:0005783///GO:0005789///GO:0005615///GO:0016021",-0.392077746088238,7.20920466866,-3.36149635051675,0.00151059412811498,0.683986092935106,-1.16683553766137
"NM_024766_at","calmodulin-lysine N-methyltransferase","CAMKMT","79823","Homo sapiens calmodulin-lysine N-methyltransferase (CAMKMT), mRNA","406362828","NM_024766","2p21","Chromosome 2, NC_000002.11 (44589043..44999731)","calmodulin-lysine N-methyltransferase activity","","Golgi apparatus///nucleus","GO:0018025","","GO:0005794///GO:0005634",-0.233453834672795,3.07204899736,-3.33639708163448,0.00162588270213429,0.683986092935106,-1.22577108508569
"NM_024508_at","zinc finger, BED-type containing 2","ZBED2","79413","Homo sapiens zinc finger, BED-type containing 2 (ZBED2), mRNA","344313164","NM_024508","3q13.2","Chromosome 3, NC_000003.11 (111311747..111314182, complement)","DNA binding///metal ion binding","","","GO:0003677///GO:0046872","","",-1.35814767068015,6.007590359,-3.33095832708828,0.00165194171768411,0.683986092935106,-1.23850856444022
"NM_003325_at","histone cell cycle regulator","HIRA","7290","Homo sapiens histone cell cycle regulator (HIRA), mRNA","21536484","NM_003325","22q11.21","Chromosome 22, NC_000022.10 (19318224..19419219, complement)","chromatin binding///protein binding///sequence-specific DNA binding transcription factor activity///transcription corepressor activity","anatomical structure morphogenesis///chromatin modification///gastrulation///muscle cell differentiation///osteoblast differentiation///regulation of transcription from RNA polymerase II promoter///transcription, DNA-dependent","PML body///nuclear chromatin///nucleus","GO:0003682///GO:0005515///GO:0003700///GO:0003714","GO:0009653///GO:0016568///GO:0007369///GO:0042692///GO:0001649///GO:0006357///GO:0006351","GO:0016605///GO:0000790///GO:0005634",0.535820473845586,7.24290754084,3.32828916334635,0.00166487504600077,0.683986092935106,-1.24475534809165
"NM_017893_at","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G","SEMA4G","57715","Homo sapiens sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G (SEMA4G), transcript variant 1, mRNA","322302904","NM_017893","10q24.31","Chromosome 10, NC_000010.10 (102732286..102745373)","receptor activity","cell differentiation///nervous system development","integral to membrane///plasma membrane","GO:0004872","GO:0030154///GO:0007399","GO:0016021///GO:0005886",-0.131841093084559,2.38597647964,-3.32668363345657,0.00167270075963068,0.683986092935106,-1.24851146985659
